Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class,cluster,distance
1.0,3.0,2.0,4.0,463.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,15.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,28.75676050858933
0.0,31.0,3.0,9.0,808.0,0.0,4.0,2.0,2.0,0.0,3.0,3.0,44.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0,373.1264723322988
1.0,13.0,2.0,9.0,349.0,3.0,1.0,2.0,3.0,0.0,2.0,0.0,17.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,87.67862681514613
0.0,17.0,2.0,3.0,682.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,245.75550295059463
1.0,13.0,2.0,0.0,768.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,11.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,331.64917883418906
3.0,8.0,4.0,9.0,178.0,4.0,4.0,3.0,2.0,0.0,3.0,3.0,38.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,259.52207322916416
2.0,8.0,2.0,3.0,253.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0,183.5360056409907
1.0,27.0,4.0,4.0,725.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,289.08985758609964
3.0,29.0,4.0,7.0,776.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,12.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0,340.00955099739076
2.0,13.0,2.0,4.0,391.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,18.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0,45.547803408819824
2.0,6.0,2.0,5.0,163.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,18.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,273.5343233267076
1.0,5.0,2.0,4.0,15.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,421.64152367572456
3.0,21.0,2.0,4.0,447.0,2.0,4.0,3.0,2.0,0.0,1.0,2.0,11.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0,14.304802084511923
1.0,8.0,2.0,4.0,138.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,7.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,298.6068833214107
1.0,13.0,3.0,6.0,781.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,25.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,344.73516088034324
0.0,21.0,4.0,1.0,779.0,1.0,3.0,0.0,3.0,0.0,3.0,2.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,342.87295360128684
0.0,29.0,4.0,1.0,777.0,0.0,4.0,3.0,1.0,0.0,3.0,3.0,39.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0,341.7630846757942
3.0,7.0,4.0,0.0,230.0,0.0,1.0,3.0,1.0,0.0,3.0,2.0,16.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0,206.56764170486545
3.0,23.0,2.0,4.0,434.0,2.0,4.0,3.0,2.0,0.0,3.0,2.0,20.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,11.09833961833726
0.0,2.0,2.0,1.0,213.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,224.0751815537184
3.0,7.0,4.0,0.0,821.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,20.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,384.6983779494655
3.0,8.0,2.0,4.0,388.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,9.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,49.27731418599649
1.0,17.0,3.0,3.0,447.0,4.0,1.0,3.0,2.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,13.254124573964017
1.0,19.0,3.0,1.0,772.0,0.0,4.0,0.0,2.0,0.0,1.0,2.0,11.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0,335.6961971969224
3.0,8.0,2.0,4.0,177.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,259.6646386362862
3.0,13.0,2.0,1.0,598.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,12.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,161.70402642483762
1.0,23.0,3.0,0.0,419.0,0.0,4.0,3.0,2.0,0.0,3.0,3.0,38.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0,30.182483440836613
1.0,8.0,2.0,4.0,797.0,4.0,0.0,1.0,2.0,0.0,0.0,3.0,33.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0,361.0749214333443
3.0,23.0,4.0,4.0,876.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,12.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,439.7199580119007
2.0,13.0,2.0,0.0,366.0,0.0,4.0,2.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0,71.53020315343468
0.0,23.0,4.0,3.0,783.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,346.9474059661753
1.0,5.0,2.0,9.0,229.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,207.84036499594936
1.0,11.0,4.0,4.0,275.0,4.0,4.0,3.0,2.0,2.0,3.0,0.0,31.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,162.21171004408092
1.0,23.0,0.0,9.0,364.0,0.0,4.0,3.0,2.0,0.0,3.0,3.0,42.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0,77.90883741864222
3.0,17.0,2.0,4.0,580.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,7.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,143.93644286341652
3.0,19.0,2.0,6.0,746.0,4.0,4.0,3.0,2.0,0.0,3.0,1.0,29.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0,309.97027050632784
3.0,8.0,2.0,4.0,410.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,10.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,27.801131373726633
1.0,8.0,2.0,0.0,107.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,329.7422464715395
3.0,23.0,2.0,7.0,325.0,0.0,2.0,3.0,2.0,0.0,3.0,3.0,18.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0,111.9454316589752
3.0,23.0,2.0,4.0,459.0,4.0,2.0,3.0,1.0,0.0,3.0,2.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,26.695605757873437
3.0,23.0,2.0,1.0,854.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,11.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,417.7470925250496
3.0,3.0,4.0,4.0,51.0,4.0,4.0,3.0,2.0,0.0,1.0,1.0,27.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,385.74047371537944
0.0,4.0,4.0,2.0,140.0,0.0,4.0,2.0,2.0,0.0,3.0,3.0,32.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0,297.03842266770533
1.0,26.0,4.0,9.0,771.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,22.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,334.9501518974535
0.0,23.0,2.0,7.0,370.0,4.0,4.0,3.0,2.0,0.0,3.0,3.0,21.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0,67.54955087423545
0.0,8.0,4.0,1.0,270.0,0.0,4.0,3.0,2.0,0.0,3.0,3.0,47.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0,169.45816858526956
0.0,26.0,2.0,4.0,674.0,0.0,1.0,3.0,2.0,0.0,2.0,2.0,15.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0,237.93907323965
1.0,7.0,3.0,4.0,726.0,0.0,3.0,1.0,2.0,0.0,3.0,1.0,32.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,290.1238529015328
3.0,30.0,0.0,1.0,875.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,20.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,438.9510299034436
1.0,21.0,2.0,3.0,657.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,221.1140980809433
3.0,17.0,2.0,4.0,769.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,25.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0,332.7691262854252
3.0,11.0,2.0,4.0,157.0,2.0,4.0,3.0,2.0,0.0,2.0,1.0,28.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,279.7009236271484
3.0,13.0,2.0,9.0,288.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,148.93442076336177
0.0,17.0,2.0,2.0,315.0,0.0,4.0,3.0,1.0,2.0,3.0,0.0,39.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,123.72437224573376
0.0,6.0,2.0,4.0,438.0,0.0,4.0,2.0,2.0,0.0,3.0,0.0,33.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,19.118548121214747
3.0,8.0,4.0,9.0,235.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,10.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0,201.68429495137968
1.0,13.0,4.0,3.0,190.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,8.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,246.55658638690616
0.0,13.0,2.0,0.0,425.0,1.0,3.0,3.0,2.0,0.0,2.0,2.0,11.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0,13.148146919399252
0.0,8.0,0.0,6.0,128.0,0.0,3.0,3.0,2.0,0.0,2.0,0.0,9.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0,308.5705085414906
3.0,8.0,4.0,4.0,24.0,0.0,4.0,3.0,2.0,0.0,3.0,0.0,37.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,413.004431914431
0.0,8.0,4.0,1.0,233.0,0.0,4.0,3.0,2.0,0.0,2.0,0.0,35.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,204.4271476609872
3.0,8.0,4.0,4.0,67.0,4.0,4.0,3.0,1.0,0.0,2.0,1.0,14.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,369.4858732522758
2.0,17.0,4.0,3.0,636.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,200.2254068664836
1.0,8.0,2.0,0.0,200.0,3.0,4.0,3.0,2.0,0.0,3.0,0.0,35.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,237.298980258068
3.0,8.0,4.0,7.0,377.0,4.0,3.0,3.0,1.0,0.0,1.0,2.0,42.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,65.37221071025971
1.0,13.0,2.0,9.0,494.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0,15.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,57.91328004349146
1.0,23.0,4.0,4.0,448.0,0.0,4.0,3.0,2.0,0.0,3.0,0.0,17.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,15.410462539211736
1.0,14.0,3.0,1.0,816.0,4.0,3.0,2.0,2.0,0.0,3.0,1.0,17.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0,379.62359304366834
3.0,17.0,2.0,0.0,250.0,1.0,4.0,3.0,3.0,0.0,3.0,0.0,22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,186.60939451575592
1.0,23.0,2.0,4.0,441.0,0.0,3.0,3.0,2.0,0.0,3.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,15.354859411933376
3.0,2.0,3.0,4.0,92.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,344.78189215592323
1.0,5.0,4.0,3.0,350.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0,16.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0,86.86805925714265
3.0,8.0,2.0,1.0,468.0,4.0,1.0,1.0,3.0,0.0,3.0,2.0,7.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0,33.627178312203846
3.0,13.0,1.0,0.0,796.0,0.0,4.0,1.0,2.0,0.0,3.0,3.0,20.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0,359.6578876972928
1.0,8.0,2.0,0.0,775.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,13.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,338.6708852426314
1.0,10.0,2.0,9.0,234.0,2.0,4.0,0.0,3.0,0.0,1.0,0.0,16.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,202.55227857223676
2.0,11.0,2.0,7.0,8.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0,428.6050993951443
1.0,13.0,2.0,0.0,784.0,0.0,3.0,2.0,2.0,0.0,2.0,0.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,347.68334486566823
3.0,23.0,4.0,0.0,846.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0,409.8452595702947
0.0,8.0,2.0,4.0,307.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0,16.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,129.58273462914389
3.0,29.0,4.0,4.0,629.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,28.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,193.65387425163385
0.0,26.0,2.0,4.0,820.0,4.0,3.0,3.0,1.0,0.0,2.0,2.0,11.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0,383.8468095747562
0.0,22.0,4.0,3.0,698.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0,262.02185579590554
1.0,8.0,4.0,0.0,454.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,17.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0,19.005909787856275
0.0,15.0,2.0,4.0,329.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,6.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0,107.91171162519402
3.0,17.0,4.0,1.0,663.0,0.0,4.0,3.0,1.0,0.0,1.0,2.0,22.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0,226.74209460314265
3.0,8.0,2.0,3.0,317.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,120.06004345962047
2.0,6.0,4.0,0.0,63.0,0.0,4.0,3.0,2.0,0.0,3.0,3.0,44.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0,374.5782060640941
1.0,13.0,2.0,3.0,352.0,4.0,1.0,3.0,1.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,84.8714398620331
0.0,8.0,4.0,0.0,396.0,0.0,2.0,3.0,2.0,0.0,1.0,1.0,11.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,41.30709021234081
0.0,8.0,2.0,4.0,44.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,21.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,392.4963790620369
1.0,8.0,2.0,6.0,28.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,11.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0,408.4900652263137
1.0,8.0,4.0,1.0,335.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,15.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0,101.65392079356172
0.0,8.0,4.0,0.0,616.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,10.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0,179.8305372361429
1.0,29.0,2.0,0.0,861.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,425.0435357182502
0.0,23.0,3.0,7.0,812.0,0.0,2.0,3.0,2.0,0.0,2.0,1.0,10.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0,375.7828632213807
3.0,11.0,2.0,3.0,508.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,72.13587824643163
3.0,13.0,2.0,3.0,373.0,0.0,2.0,3.0,2.0,0.0,3.0,3.0,28.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0,64.67156835882744
3.0,31.0,2.0,4.0,882.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,446.1581012213752
3.0,8.0,4.0,4.0,170.0,4.0,4.0,3.0,1.0,0.0,1.0,0.0,19.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,266.52395431939055
3.0,19.0,3.0,1.0,863.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,8.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,426.7146704105677
1.0,8.0,2.0,4.0,61.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,47.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,376.7502013620807
1.0,11.0,4.0,4.0,511.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,16.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0,74.80132705178326
2.0,8.0,2.0,4.0,340.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,25.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,97.03588513652424
2.0,2.0,2.0,0.0,47.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,389.69369452868546
1.0,23.0,2.0,4.0,728.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,11.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0,291.8079245052916
0.0,19.0,2.0,4.0,606.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,8.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0,169.88251705278194
0.0,13.0,2.0,3.0,469.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0,35.138835512301604
3.0,15.0,4.0,3.0,432.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,4.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,13.12489896605985
1.0,29.0,1.0,9.0,625.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,11.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,189.38844177811504
0.0,2.0,4.0,0.0,74.0,0.0,4.0,0.0,1.0,0.0,3.0,3.0,20.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,362.65672594130984
3.0,8.0,4.0,0.0,37.0,1.0,3.0,3.0,1.0,0.0,2.0,2.0,32.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,399.79724797543395
0.0,23.0,4.0,3.0,752.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,9.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,315.8250079599665
3.0,13.0,4.0,4.0,293.0,3.0,4.0,3.0,2.0,0.0,3.0,2.0,27.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,143.89506650398064
3.0,2.0,2.0,4.0,211.0,1.0,4.0,1.0,2.0,0.0,3.0,3.0,23.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0,225.85238544299477
3.0,6.0,2.0,4.0,352.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,19.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0,84.86707125451359
2.0,23.0,2.0,4.0,767.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,330.9152834179564
1.0,17.0,4.0,1.0,842.0,3.0,4.0,1.0,1.0,0.0,3.0,3.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,405.6741269339028
1.0,17.0,3.0,9.0,814.0,1.0,3.0,3.0,2.0,0.0,3.0,2.0,17.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0,377.6596514002937
0.0,8.0,2.0,3.0,183.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,253.92199902003648
