Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,target,cluster,distance
2.0,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13,0,3.000958839480776
2.0,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14,0,3.98322682708321
2.0,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12,0,2.0021183034732086
2.0,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13,0,3.002595485191601
2.0,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14,0,3.984295323048804
2.0,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12,0,1.979565802839536
2.0,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9,0,1.0287498405051532
2.0,0.635,0.515,0.17,1.275,0.509,0.286,0.34,16,0,5.985356355209154
2.0,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13,0,3.0492476362524226
2.0,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18,0,7.981774062115473
2.0,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11,0,0.9881993642029362
2.0,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12,0,1.983702137613698
2.0,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,13,0,3.0020585868749343
2.0,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11,0,1.0017056128198314
2.0,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15,0,4.979574568436216
2.0,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15,0,4.981897435327449
2.0,0.535,0.42,0.145,0.791,0.33,0.189,0.25,10,0,0.2645652524309273
2.0,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10,0,0.4108135753894808
2.0,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12,0,2.051777209202595
2.0,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10,0,0.1997420085069446
2.0,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12,0,2.0026910765176296
2.0,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10,0,0.6257341875650979
2.0,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14,0,4.00679417156574
2.0,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10,0,0.4977482533837957
2.0,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8,0,2.0853405284137003
2.0,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12,0,2.0184817637077885
2.0,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,11,0,0.9791371072657143
2.0,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9,0,1.0786930434546993
2.0,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,8,0,2.118995467212748
2.0,0.59,0.485,0.12,0.911,0.39,0.182,0.29,16,0,5.979663482625351
2.0,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11,0,0.9849857755373972
2.0,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8,0,2.0349542014127158
2.0,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15,0,4.979593212015433
2.0,0.585,0.475,0.12,0.945,0.41,0.2115,0.28,14,0,3.979165036917408
2.0,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12,0,1.988856467519518
2.0,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13,0,3.0135716846911977
2.0,0.58,0.45,0.175,1.068,0.425,0.203,0.32,13,0,2.9791684994669403
2.0,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18,0,7.980012396405634
2.0,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,11,0,1.062345869448242
2.0,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9,0,1.3297591958968389
2.0,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13,0,3.0053380060957915
2.0,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13,0,2.984314916700177
2.0,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,16,0,5.980738528022051
2.0,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12,0,1.9830785690132704
2.0,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11,0,1.0014523420414108
2.0,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11,0,1.329798122122133
2.0,0.655,0.53,0.195,1.388,0.567,0.2735,0.41,13,0,3.009184553710632
2.0,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,17,0,6.986948586706435
2.0,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,17,0,6.988679002264105
2.0,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16,0,5.990461857240656
2.0,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17,0,6.979468866986248
2.0,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,15,0,4.981890440729237
2.0,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12,0,1.9793136921479408
2.0,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,11,0,0.9861988408208208
2.0,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11,0,1.0084296655551823
2.0,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14,0,3.978848342823327
2.0,0.58,0.46,0.13,0.921,0.357,0.181,0.29,13,0,2.9814830327440918
2.0,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,15,0,4.98766745221703
2.0,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,17,0,6.98952511251697
2.0,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,10,0,0.1926974876085981
2.0,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15,0,4.979391377348863
2.0,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15,0,4.980003672198359
2.0,0.56,0.435,0.18,0.889,0.36,0.204,0.25,11,0,0.9916512132131904
2.0,0.31,0.22,0.085,0.146,0.061,0.0365,0.045,6,0,4.159751799188481
2.0,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,6,0,4.177776782918558
2.0,0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,9,0,1.3525342997834413
2.0,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5,0,5.148609094477474
2.0,0.325,0.23,0.09,0.147,0.06,0.034,0.045,4,0,6.113736103290113
2.0,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3,0,7.127921567769995
2.0,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5,0,5.171118589820652
2.0,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,4,0,6.139555388041169
2.0,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4,0,6.151939280318445
2.0,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3,0,7.13706214259584
2.0,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9,0,1.3801709037358625
2.0,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7,0,3.2157431006293846
2.0,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,5,0,5.148263562250477
2.0,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15,0,5.0527707372286645
2.0,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,8,0,2.163568244972406
2.0,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11,0,1.4329169363746552
2.0,0.255,0.195,0.065,0.08,0.0315,0.018,0.027,8,0,2.328798716428819
2.0,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,7,0,3.259370221785035
2.0,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10,0,1.0127043635731792
2.0,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,7,0,3.220849673585251
2.0,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,14,0,4.0350992246943855
2.0,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,12,0,2.014669140667186
2.0,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9,0,1.4240153050143385
2.0,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10,0,0.9512165349386248
2.0,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12,0,2.222210243060569
2.0,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4,0,6.147735042924723
2.0,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9,0,1.4648298630140744
2.0,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13,0,3.073712624557152
2.0,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7,0,3.193011429620619
2.0,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,9,0,1.4880971834244587
2.0,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7,0,3.2509165966668205
2.0,0.345,0.255,0.08,0.169,0.06,0.0425,0.054,10,0,1.0254619776306166
2.0,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,10,0,1.0029393280236238
2.0,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10,0,0.6500359426505491
2.0,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9,0,1.4091967621698018
2.0,0.355,0.265,0.09,0.168,0.05,0.041,0.063,8,0,2.266098640651186
2.0,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7,0,3.1594499960259905
2.0,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6,0,4.143024425283547
2.0,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,7,0,3.1905904495427078
2.0,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7,0,3.1848223041670303
2.0,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9,0,1.2740086212984447
2.0,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6,0,4.168213230630446
2.0,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9,0,1.0924356042983892
2.0,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5,0,5.154112562383989
2.0,0.31,0.225,0.08,0.1345,0.054,0.024,0.05,7,0,3.207226131188327
2.0,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7,0,3.211789548553476
2.0,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11,0,1.165756415395211
2.0,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,13,0,2.985573111295197
2.0,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14,0,4.007838739356285
2.0,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12,0,2.007635621935836
2.0,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10,0,0.5388449906450726
2.0,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16,0,5.9829840889685615
2.0,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10,0,0.4408669423218582
2.0,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,15,0,4.9806154233645925
2.0,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195,11,0,1.0394684899035864
2.0,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,11,0,0.9839580147428998
2.0,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,10,0,0.4573783046362282
2.0,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,9,0,1.3493650072554213
2.0,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5,0,5.141723689628523
2.0,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12,0,2.162212524414161
2.0,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12,0,2.150831195792415
2.0,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,9,0,1.252762391077289
2.0,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10,0,0.7229785801590751
2.0,0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,11,0,1.398995219122007
2.0,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10,0,0.8995606862088447
2.0,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,11,0,1.343360529113618
2.0,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8,0,2.2492809929660296
2.0,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9,0,1.4274613330838384
2.0,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293,13,0,2.9792244758901947
2.0,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15,0,4.981507954466316
2.0,0.525,0.41,0.13,0.99,0.3865,0.243,0.295,15,0,4.979253124982709
2.0,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11,0,1.1635386081375172
2.0,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,10,0,0.8644830775182475
2.0,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,13,0,2.995748366597076
2.0,0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275,11,0,1.0214489777414777
2.0,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,13,0,2.9836347973658364
2.0,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15,0,4.985134852939068
2.0,0.505,0.38,0.13,0.656,0.227,0.1785,0.22,13,0,3.0107863223307643
2.0,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,18,0,7.9817515498708
2.0,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10,0,0.4318468083858414
2.0,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12,0,2.023696475558568
2.0,0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14,0,3.985834291726941
2.0,0.445,0.345,0.09,0.3795,0.143,0.074,0.125,10,0,0.7605226228743358
2.0,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,14,0,3.985138419550878
2.0,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9,0,1.11099821731675
2.0,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14,0,3.987097458144889
2.0,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15,0,5.011533474181832
2.0,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10,0,0.5636819197350014
2.0,0.62,0.505,0.185,1.5275,0.69,0.368,0.35,13,0,3.0367391613638373
2.0,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13,0,2.9801613236744675
2.0,0.57,0.43,0.12,1.0615,0.348,0.167,0.31,15,0,4.980069566981516
2.0,0.585,0.405,0.15,1.2565,0.435,0.202,0.325,15,0,4.984642032692947
2.0,0.64,0.51,0.19,1.613,0.6215,0.361,0.47,14,0,4.034461169297449
2.0,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,11,0,0.9869220390710188
2.0,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,9,0,1.4234708511184937
2.0,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,8,0,2.2131577644215565
2.0,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9,0,1.2198946663384256
2.0,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10,0,0.365484210890413
2.0,0.53,0.41,0.165,0.732,0.189,0.17,0.31,11,0,1.054866594821256
2.0,0.505,0.385,0.145,0.6775,0.236,0.179,0.2,15,0,4.99602439318499
2.0,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13,0,3.0143977541451954
2.0,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15,0,5.007400030196068
2.0,0.56,0.41,0.165,0.93,0.3505,0.237,0.3,13,0,2.9815089502503804
2.0,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12,0,2.0281402458814988
2.0,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10,0,0.2215551340465096
2.0,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15,0,4.980051327608863
2.0,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,12,0,2.0207886629381164
2.0,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9,0,1.1865859344200618
2.0,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12,0,1.984362887557275
2.0,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,12,0,1.9849983490189
2.0,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15,0,4.995167674382487
2.0,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,11,0,1.0424205493078418
2.0,0.44,0.335,0.11,0.394,0.157,0.096,0.122,9,0,1.261678842357682
2.0,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11,0,1.037500335483521
2.0,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10,0,0.6318423084506045
2.0,0.45,0.335,0.125,0.349,0.119,0.1055,0.115,10,0,0.7910672284612031
2.0,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9,0,1.2388953022250877
2.0,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10,0,0.4212267969110231
2.0,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7,0,3.1350286459599594
