Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class
3.0,17.0,4.0,2.0,789.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,8.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0
3.0,15.0,3.0,9.0,488.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,22.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,2.0,1.0,7.0,12.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
2.0,2.0,4.0,0.0,192.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,51.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0
1.0,13.0,4.0,4.0,319.0,0.0,4.0,2.0,1.0,2.0,3.0,0.0,29.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0,13.0,4.0,0.0,675.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,14.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0
3.0,13.0,0.0,9.0,690.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,17.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0
0.0,14.0,4.0,0.0,420.0,0.0,2.0,3.0,3.0,2.0,1.0,1.0,14.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0
0.0,13.0,1.0,4.0,360.0,0.0,1.0,2.0,2.0,1.0,3.0,3.0,17.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0
3.0,20.0,1.0,1.0,845.0,4.0,1.0,2.0,2.0,2.0,3.0,0.0,21.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
1.0,29.0,0.0,2.0,920.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,13.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0
0.0,17.0,1.0,3.0,811.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,36.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0
1.0,13.0,4.0,9.0,630.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,21.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0
0.0,17.0,1.0,0.0,147.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
