sepal length,sepal width,petal length,petal width,target,cluster,distance
5.5,2.5,4.0,1.3,1.0,1,0.57809638168839
5.5,2.6,4.4,1.2,1.0,1,0.49078568846372517
6.1,3.0,4.6,1.4,1.0,1,0.4337651689990868
5.8,2.6,4.0,1.2,1.0,1,0.37761019906034604
5.0,2.3,3.3,1.0,1.0,1,1.4604863148300278
5.6,2.7,4.2,1.3,1.0,1,0.33590368662092157
5.7,3.0,4.2,1.2,1.0,1,0.32540464029873045
5.7,2.9,4.2,1.3,1.0,1,0.24640570079175592
6.2,2.9,4.3,1.3,1.0,1,0.30788661397141975
5.1,2.5,3.0,1.1,1.0,1,1.5555311800831404
5.7,2.8,4.1,1.3,1.0,1,0.27435034207226794
6.3,3.3,6.0,2.5,2.0,2,0.780651091773379
5.8,2.7,5.1,1.9,2.0,2,0.9216552274176362
7.1,3.0,5.9,2.1,2.0,2,0.6706380710318961
6.3,2.9,5.6,1.8,2.0,2,0.3824455450749528
6.5,3.0,5.8,2.2,2.0,2,0.33568301994371813
7.6,3.0,6.6,2.1,2.0,2,1.5103568721043044
7.3,2.9,6.3,1.8,2.0,2,1.117258226264135
6.7,2.5,5.8,1.8,2.0,2,0.6402559847062593
7.2,3.6,6.1,2.5,2.0,2,1.1557629348933733
6.5,3.2,5.1,2.0,2.0,2,0.46292861405003294
6.4,2.7,5.3,1.9,2.0,2,0.41895930995921105
6.8,3.0,5.5,2.1,2.0,2,0.24625258315049203
5.7,2.5,5.0,2.0,2.0,2,1.113491350301519
5.8,2.8,5.1,2.4,2.0,2,0.9500345755325345
6.4,3.2,5.3,2.3,2.0,2,0.4177485170441733
6.5,3.0,5.5,1.8,2.0,2,0.2556368073526165
7.7,3.8,6.7,2.2,2.0,2,1.84408990777116
7.7,2.6,6.9,2.3,2.0,2,1.860057570346245
6.0,2.2,5.0,1.5,2.0,2,1.2239285338447712
6.9,3.2,5.7,2.3,2.0,2,0.5097651098951884
5.6,2.8,4.9,2.0,2.0,2,1.1522556852877412
7.7,2.8,6.7,2.0,2.0,2,1.6627024370393728
6.3,2.7,4.9,1.8,2.0,2,0.7631049059999901
6.7,3.3,5.7,2.1,2.0,2,0.39312380595860913
7.2,3.2,6.0,1.8,2.0,2,0.8710408971773507
6.2,2.8,4.8,1.8,2.0,2,0.8526824412639699
6.1,3.0,4.9,1.8,2.0,2,0.8004595148419367
6.4,2.8,5.6,2.1,2.0,2,0.27161964530622196
7.2,3.0,5.8,1.6,2.0,2,0.835229244028092
7.4,2.8,6.1,1.9,2.0,2,1.0572446053069695
7.9,3.8,6.4,2.0,2.0,2,1.8028296592565027
6.4,2.8,5.6,2.2,2.0,2,0.30674338804965995
6.3,2.8,5.1,1.5,2.0,2,0.7551927671502238
6.1,2.6,5.6,1.4,2.0,2,0.8911442350679315
7.7,3.0,6.1,2.3,2.0,2,1.3101383576876298
6.3,3.4,5.6,2.4,2.0,2,0.6048802061818506
6.4,3.1,5.5,1.8,2.0,2,0.31429343564980433
6.0,3.0,4.8,1.8,2.0,2,0.9348410124069875
6.9,3.1,5.4,2.1,2.0,2,0.37631122618342644
6.7,3.1,5.6,2.4,2.0,2,0.40460509469805045
6.9,3.1,5.1,2.3,2.0,2,0.5967938276507362
5.8,2.7,5.1,1.9,2.0,2,0.9216552274176362
6.8,3.2,5.9,2.3,2.0,2,0.5649146536115489
6.7,3.3,5.7,2.5,2.0,2,0.5964926021293204
6.7,3.0,5.2,2.3,2.0,2,0.42080552562467033
6.3,2.5,5.0,1.9,2.0,2,0.7669702610236319
6.5,3.0,5.2,2.0,2.0,2,0.31607421761950333
6.2,3.4,5.4,2.3,2.0,2,0.60833061296579
5.9,3.0,5.1,1.8,2.0,2,0.8135648440150384
