sepal length,sepal width,petal length,petal width,target,cluster,distance
6.3,3.3,4.7,1.6,1.0,1,0.8118029473511869
6.6,2.9,4.6,1.3,1.0,1,0.7693395871919998
5.2,2.7,3.9,1.4,1.0,1,0.8127986301884418
5.9,3.0,4.2,1.5,1.0,1,0.2758041755168238
6.0,2.2,4.0,1.0,1.0,1,0.7402591062459201
6.1,2.9,4.7,1.4,1.0,1,0.4831727849501332
5.6,2.9,3.6,1.3,1.0,1,0.7488131243453671
6.7,3.1,4.4,1.4,1.0,1,0.8566890133294542
5.6,3.0,4.5,1.5,1.0,1,0.467945920022122
5.8,2.7,4.1,1.0,1.0,1,0.3977914048902952
6.2,2.2,4.5,1.5,1.0,1,0.7244590196621203
5.6,2.5,3.9,1.1,1.0,1,0.6138087322282285
5.9,3.2,4.8,1.8,1.0,1,0.8143492471095063
6.1,2.8,4.0,1.3,1.0,1,0.332948327250352
6.3,2.5,4.9,1.5,1.0,1,0.8150460595912405
6.1,2.8,4.7,1.2,1.0,1,0.4833061657430407
6.4,2.9,4.3,1.3,1.0,1,0.50027517492016
6.6,3.0,4.4,1.4,1.0,1,0.7321909268190676
6.8,2.8,4.8,1.4,1.0,1,1.035829836856066
6.7,3.0,5.0,1.7,1.0,1,1.1536017108313124
6.0,2.9,4.5,1.5,1.0,1,0.3160119946594562
5.7,2.6,3.5,1.0,1.0,1,0.8877901537862793
5.5,2.4,3.8,1.1,1.0,1,0.7768995808872686
5.5,2.4,3.7,1.0,1.0,1,0.8736691079239194
5.8,2.7,3.9,1.2,1.0,1,0.4210531369729161
6.0,2.7,5.1,1.6,1.0,1,0.881404182070267
5.4,3.0,4.5,1.5,1.0,1,0.619267551617828
6.0,3.4,4.5,1.6,1.0,1,0.7036497658259496
6.7,3.1,4.7,1.5,1.0,1,0.9617394094393747
6.3,2.3,4.4,1.3,1.0,1,0.6461258196838596
5.6,3.0,4.1,1.3,1.0,1,0.4094771169598011
5.5,2.5,4.0,1.3,1.0,1,0.5780963816883901
5.5,2.6,4.4,1.2,1.0,1,0.4907856884637251
6.1,3.0,4.6,1.4,1.0,1,0.4337651689990868
5.8,2.6,4.0,1.2,1.0,1,0.377610199060346
5.6,2.7,4.2,1.3,1.0,1,0.3359036866209215
5.7,3.0,4.2,1.2,1.0,1,0.3254046402987304
5.7,2.9,4.2,1.3,1.0,1,0.2464057007917559
6.2,2.9,4.3,1.3,1.0,1,0.3078866139714197
5.7,2.8,4.1,1.3,1.0,1,0.2743503420722679
6.3,3.3,6.0,2.5,2.0,2,0.780651091773379
5.8,2.7,5.1,1.9,2.0,2,0.921655227417636
7.1,3.0,5.9,2.1,2.0,2,0.6706380710318961
6.3,2.9,5.6,1.8,2.0,2,0.3824455450749528
6.5,3.0,5.8,2.2,2.0,2,0.3356830199437181
7.6,3.0,6.6,2.1,2.0,2,1.5103568721043046
7.3,2.9,6.3,1.8,2.0,2,1.1172582262641353
6.7,2.5,5.8,1.8,2.0,2,0.6402559847062593
7.2,3.6,6.1,2.5,2.0,2,1.1557629348933731
6.5,3.2,5.1,2.0,2.0,2,0.4629286140500329
6.4,2.7,5.3,1.9,2.0,2,0.418959309959211
6.8,3.0,5.5,2.1,2.0,2,0.246252583150492
5.7,2.5,5.0,2.0,2.0,2,1.113491350301519
5.8,2.8,5.1,2.4,2.0,2,0.9500345755325346
6.4,3.2,5.3,2.3,2.0,2,0.4177485170441733
6.5,3.0,5.5,1.8,2.0,2,0.2556368073526165
6.0,2.2,5.0,1.5,2.0,2,1.223928533844771
6.9,3.2,5.7,2.3,2.0,2,0.5097651098951884
5.6,2.8,4.9,2.0,2.0,2,1.1522556852877412
6.3,2.7,4.9,1.8,2.0,2,0.7631049059999901
6.7,3.3,5.7,2.1,2.0,2,0.3931238059586091
7.2,3.2,6.0,1.8,2.0,2,0.8710408971773507
6.2,2.8,4.8,1.8,2.0,2,0.8526824412639699
6.1,3.0,4.9,1.8,2.0,2,0.8004595148419367
6.4,2.8,5.6,2.1,2.0,2,0.2716196453062219
7.2,3.0,5.8,1.6,2.0,2,0.8352292440280918
7.4,2.8,6.1,1.9,2.0,2,1.0572446053069695
6.4,2.8,5.6,2.2,2.0,2,0.3067433880496599
6.3,2.8,5.1,1.5,2.0,2,0.7551927671502238
6.1,2.6,5.6,1.4,2.0,2,0.8911442350679314
7.7,3.0,6.1,2.3,2.0,2,1.3101383576876298
6.3,3.4,5.6,2.4,2.0,2,0.6048802061818506
6.4,3.1,5.5,1.8,2.0,2,0.3142934356498043
6.0,3.0,4.8,1.8,2.0,2,0.9348410124069876
6.9,3.1,5.4,2.1,2.0,2,0.3763112261834264
6.7,3.1,5.6,2.4,2.0,2,0.4046050946980504
6.9,3.1,5.1,2.3,2.0,2,0.5967938276507363
5.8,2.7,5.1,1.9,2.0,2,0.921655227417636
6.8,3.2,5.9,2.3,2.0,2,0.5649146536115489
6.7,3.3,5.7,2.5,2.0,2,0.5964926021293204
6.7,3.0,5.2,2.3,2.0,2,0.4208055256246703
6.3,2.5,5.0,1.9,2.0,2,0.7669702610236319
6.5,3.0,5.2,2.0,2.0,2,0.3160742176195033
6.2,3.4,5.4,2.3,2.0,2,0.60833061296579
5.9,3.0,5.1,1.8,2.0,2,0.8135648440150386
