Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,target
0.0,0.78,0.63,0.215,2.657,1.488,0.4985,0.586,11
1.0,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6
1.0,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
1.0,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,8
0.0,0.7,0.545,0.13,1.556,0.6725,0.374,0.195,12
2.0,0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,10
0.0,0.75,0.61,0.235,2.5085,1.232,0.519,0.612,14
0.0,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,14
2.0,0.725,0.575,0.24,2.21,1.351,0.413,0.5015,13
0.0,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
1.0,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,13
0.0,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,11
2.0,0.77,0.62,0.195,2.5155,1.1155,0.6415,0.642,12
2.0,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12
0.0,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
0.0,0.455,0.355,1.13,0.594,0.332,0.116,0.1335,8
0.0,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,10
2.0,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,17
2.0,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,27
0.0,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,18
2.0,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,17
2.0,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,19
0.0,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885,17
2.0,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6
0.0,0.68,0.55,0.2,1.596,0.525,0.4075,0.585,21
0.0,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25
0.0,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16
0.0,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27
2.0,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,17
2.0,0.695,0.57,0.2,2.033,0.751,0.4255,0.685,15
0.0,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23
0.0,0.8,0.63,0.195,2.526,0.933,0.59,0.62,23
2.0,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23
2.0,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,21
0.0,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20
2.0,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19
0.0,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,16
1.0,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17
1.0,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16
2.0,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,23
1.0,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,11
1.0,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,5
1.0,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,8
2.0,0.6,0.48,0.09,1.05,0.457,0.2685,0.28,8
2.0,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10
2.0,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341,13
2.0,0.535,0.405,0.175,1.2705,0.548,0.3265,0.337,13
0.0,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12
0.0,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,12
0.0,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,24
0.0,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21
2.0,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16
0.0,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19
2.0,0.69,0.54,0.185,1.6195,0.533,0.353,0.555,24
1.0,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,16
1.0,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,15
1.0,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20
0.0,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565,10
0.0,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8
2.0,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12
2.0,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,11
2.0,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,11
0.0,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,10
2.0,0.695,0.58,0.2,1.8995,0.675,0.478,0.5295,13
2.0,0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,12
2.0,0.635,0.48,0.235,1.064,0.413,0.228,0.36,16
1.0,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,19
1.0,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655,10
1.0,0.315,0.23,0.0,0.134,0.0575,0.0285,0.3505,6
2.0,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13
2.0,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,11
2.0,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11
