Gender,Age,City,Salary
Female,49,Verona,64830
Male,23,Genoa,29758
Male,48,Parma,57999
Non-binary,40,Padua,55694
Non-binary,44,Venice,45970
Female,39,Turin,65778
Male,38,Brescia,53956
Non-binary,60,Verona,55675
Female,24,Turin,27381
Female,28,Brescia,38038
Non-binary,39,Brescia,52475
Female,44,Brescia,56659
Male,62,Brescia,48121
Female,49,Brescia,57301
Male,36,Milan,59150
Male,60,Padua,36086
Non-binary,43,Trieste,67272
Non-binary,53,Milan,49197
Non-binary,20,Padua,26227
Female,47,Verona,47808
Non-binary,23,Bologna,24839
Non-binary,38,Milan,53075
Female,34,Verona,41683
Non-binary,38,Turin,47408
Female,25,Verona,31344
Female,43,Genoa,53780
Male,50,Turin,35053
Male,18,Parma,26225
Non-binary,60,Verona,53320
Female,52,Venice,55686
Male,47,Milan,65771
Male,44,Verona,50055
Male,21,Brescia,26383
Male,30,Verona,35188
Non-binary,51,Venice,41819
Male,41,Trieste,48491
Non-binary,57,Trieste,32998
Female,49,Venice,45170
Non-binary,58,Venice,40101
Male,46,Turin,59573
Female,21,Trieste,25896
Female,31,Milan,42473
Non-binary,35,Bologna,53839
Female,53,Genoa,33349
Non-binary,26,Milan,32170
Female,36,Genoa,47860
Non-binary,46,Milan,51140
Male,62,Verona,44122
Non-binary,49,Bologna,59707
Non-binary,25,Brescia,39125
Male,19,Padua,29088
Non-binary,58,Brescia,46791
Non-binary,56,Trieste,43370
Female,33,Bologna,31692
Non-binary,63,Milan,30860
Female,28,Genoa,31468
Male,37,Bologna,56597
Female,53,Verona,48160
Female,18,Milan,21524
Male,53,Verona,49560
Female,44,Bologna,64596
Male,23,Turin,25315
Non-binary,32,Verona,44151
Non-binary,25,Padua,36311
Female,47,Padua,45404
Non-binary,25,Trieste,34781
Male,59,Padua,43559
Non-binary,27,Verona,36353
Male,49,Venice,47775
Non-binary,63,Trieste,53751
Female,36,Trieste,63334
Non-binary,50,Verona,59661
Non-binary,63,Brescia,37954
Non-binary,35,Bologna,63741
Male,44,Turin,62075
Male,48,Padua,50556
Female,48,Turin,67456
Male,33,Padua,36237
Non-binary,47,Parma,50554
Non-binary,53,Venice,34549
Male,27,Brescia,34405
Non-binary,42,Bologna,54867
Female,30,Verona,34397
Female,56,Turin,46158
Male,50,Turin,34781
Male,65,Verona,32073
Female,26,Bologna,32739
Female,22,Bologna,27121
Male,35,Trieste,54042
Male,44,Parma,58798
Male,39,Padua,54822
Non-binary,50,Venice,45867
Male,35,Trieste,47520
Male,18,Verona,25916
Non-binary,36,Trieste,53247
Female,64,Milan,38080
Male,37,Verona,68622
Non-binary,55,Parma,50481
Male,55,Padua,46246
Male,60,Bologna,49457
Non-binary,49,Milan,65207
Female,27,Turin,33203
Non-binary,46,Padua,60003
Male,52,Verona,33505
Female,48,Brescia,49439
Non-binary,40,Venice,54983
Non-binary,39,Milan,45221
Female,53,Venice,42966
Male,52,Parma,40886
Non-binary,42,Trieste,65322
Non-binary,47,Milan,57448
Non-binary,38,Venice,55798
Male,30,Turin,37212
Non-binary,62,Genoa,40968
Female,33,Verona,37055
Female,54,Verona,56721
Non-binary,42,Padua,66333
Non-binary,32,Parma,39738
Female,44,Milan,49460
Female,20,Parma,24922
Non-binary,38,Venice,55507
Female,65,Trieste,49766
Male,48,Verona,67783
Male,63,Verona,36581
Male,42,Trieste,60696
Male,42,Turin,55295
Female,60,Parma,35820
Male,59,Venice,43049
Non-binary,27,Brescia,35228
Non-binary,49,Verona,54550
Male,20,Padua,28044
Non-binary,26,Verona,39435
Male,50,Bologna,55623
Male,55,Genoa,37943
Male,39,Turin,55678
Non-binary,24,Milan,26161
Non-binary,46,Venice,54184
Male,24,Trieste,26437
Male,51,Brescia,41960
Male,47,Padua,48731
Male,18,Brescia,29238
Female,64,Turin,36547
Male,27,Bologna,39703
Non-binary,44,Bologna,62879
Male,59,Trieste,35895
Female,27,Genoa,41169
Non-binary,22,Parma,29012
Female,48,Bologna,45881
Male,34,Trieste,41914
Non-binary,39,Genoa,60126
Male,57,Turin,53211
Non-binary,62,Venice,36869
Non-binary,43,Turin,59367
Non-binary,59,Trieste,56138
Female,23,Venice,24773
Male,39,Trieste,67702
Female,61,Turin,32266
Female,52,Verona,56835
Male,42,Verona,58406
Male,38,Turin,67052
Male,58,Brescia,46361
Non-binary,63,Brescia,34560
Female,49,Bologna,65753
Female,52,Bologna,39923
Female,20,Venice,23965
Female,57,Venice,38279
Female,22,Verona,22525
Non-binary,33,Brescia,41718
Male,58,Genoa,43865
Non-binary,61,Turin,55856
Non-binary,36,Genoa,57353
Non-binary,32,Venice,31211
Male,65,Genoa,44715
Male,23,Trieste,29796
Female,45,Milan,60703
Non-binary,24,Verona,29539
Female,58,Brescia,43133
Male,63,Parma,47510
Male,24,Verona,28300
Male,46,Trieste,67665
Male,28,Brescia,36853
Non-binary,62,Venice,47814
Female,37,Parma,46204
Male,19,Turin,25890
Female,20,Turin,28796
Male,38,Bologna,64458
Female,21,Padua,21392
Female,36,Trieste,48583
Male,40,Brescia,53134
Male,41,Padua,66548
Female,45,Padua,66780
Non-binary,27,Parma,35816
Male,33,Turin,32725
Male,51,Venice,51200
Non-binary,44,Verona,65076
Non-binary,54,Turin,31451
Male,61,Trieste,48455
Male,29,Trieste,40568
Male,28,Brescia,41099
Male,29,Verona,40596
Female,23,Venice,26547
Female,57,Brescia,54663
Female,42,Parma,55865
Male,57,Venice,56090
Female,61,Venice,44105
Male,33,Padua,31735
Male,49,Brescia,45345
Female,55,Milan,33231
Male,27,Turin,34239
Female,32,Brescia,33637
Female,47,Venice,61733
Female,58,Bologna,54472
Female,34,Venice,38499
Female,47,Venice,63284
Non-binary,34,Verona,39511
Non-binary,60,Genoa,52533
Non-binary,18,Verona,29424
Non-binary,47,Brescia,52242
Non-binary,36,Bologna,59607
Female,61,Turin,42259
Male,52,Bologna,42816
Male,28,Genoa,37586
Female,22,Brescia,29643
Male,46,Bologna,67624
Male,40,Venice,61399
Non-binary,55,Bologna,34939
Non-binary,37,Parma,56303
Non-binary,58,Brescia,30804
Male,45,Turin,60819
Non-binary,62,Brescia,33425
Female,34,Venice,34840
Male,47,Parma,58630
Male,37,Parma,47813
Non-binary,30,Venice,31901
Female,42,Venice,68925
Non-binary,48,Parma,49642
Non-binary,24,Parma,25707
Male,33,Verona,35110
Male,42,Parma,56241
Non-binary,54,Milan,44920
Male,40,Milan,51778
Male,54,Turin,47075
Male,36,Milan,60824
Non-binary,62,Parma,41413
Male,36,Bologna,60602
Non-binary,19,Genoa,21599
Male,60,Parma,44357
Female,43,Padua,68658
Male,35,Parma,67831
Non-binary,18,Milan,27412
Male,54,Trieste,40450
Non-binary,61,Brescia,32201
Non-binary,65,Bologna,39839
Male,21,Bologna,20732
Non-binary,56,Trieste,56548
Male,65,Genoa,53290
Female,49,Padua,48771
Non-binary,36,Bologna,45740
Non-binary,32,Trieste,43912
Non-binary,56,Turin,41241
Non-binary,40,Milan,66232
Female,32,Venice,31791
Female,58,Trieste,52188
Male,30,Padua,43108
Non-binary,57,Trieste,35385
Non-binary,34,Trieste,42132
Female,61,Genoa,37992
Male,64,Verona,46908
Female,60,Parma,35716
Female,61,Venice,48084
Male,26,Verona,32623
Non-binary,58,Verona,40845
Non-binary,24,Verona,29172
Female,58,Padua,43971
Female,59,Venice,45140
Female,20,Verona,23798
Male,37,Brescia,58272
Male,46,Brescia,65635
Female,20,Turin,23022
Non-binary,55,Verona,36107
Non-binary,41,Genoa,65987
Male,64,Trieste,51538
Male,26,Turin,37080
Non-binary,23,Bologna,26481
Male,36,Trieste,45956
Non-binary,38,Genoa,69162
Female,65,Venice,50123
Male,44,Turin,51465
Female,29,Milan,37365
Male,30,Bologna,39702
Male,26,Padua,37037
Female,52,Parma,42741
Female,41,Padua,45145
Male,51,Genoa,53092
Female,50,Venice,37038
Non-binary,35,Verona,51743
Non-binary,28,Parma,34560
Female,34,Verona,42326
Non-binary,48,Genoa,68060
Non-binary,36,Venice,47050
Non-binary,65,Trieste,48918
Male,39,Brescia,48334
Non-binary,25,Trieste,43099
Non-binary,47,Trieste,62592
Female,22,Bologna,23063
Non-binary,27,Trieste,35993
Male,32,Milan,35340
Male,61,Turin,36457
Female,64,Padua,44993
Male,61,Brescia,33734
Male,43,Trieste,53596
Non-binary,53,Genoa,51977
Non-binary,41,Genoa,61039
Male,23,Parma,28646
Female,43,Verona,65942
Female,18,Milan,25134
Non-binary,34,Milan,39780
Male,52,Bologna,42734
Non-binary,25,Trieste,40015
Female,47,Parma,57862
Male,41,Trieste,64234
Non-binary,61,Bologna,33743
Non-binary,65,Brescia,41400
Female,61,Milan,41533
Non-binary,34,Turin,43852
Female,55,Padua,45003
Female,42,Venice,65229
Male,58,Bologna,35653
Male,41,Verona,67072
Non-binary,24,Padua,24873
Female,61,Verona,50135
Female,32,Milan,39669
Male,48,Padua,47777
Male,19,Milan,22194
Female,57,Parma,40262
Male,53,Brescia,33862
Non-binary,38,Genoa,52817
Female,57,Verona,40006
Male,32,Brescia,31916
Non-binary,59,Bologna,35998
Female,22,Turin,26116
Non-binary,58,Padua,52722
Non-binary,47,Brescia,49632
Female,62,Trieste,46738
Non-binary,37,Brescia,57729
Male,59,Bologna,43704
Male,44,Parma,64543
Male,25,Parma,32258
Non-binary,26,Turin,39417
Male,20,Venice,26286
Non-binary,20,Turin,26931
Male,37,Padua,51086
Female,49,Verona,60947
Non-binary,25,Verona,40412
Non-binary,24,Brescia,28804
Male,33,Verona,41361
Female,52,Venice,51143
Male,26,Genoa,32838
Male,42,Parma,63183
Female,47,Brescia,50467
Female,41,Padua,61044
Male,60,Brescia,39464
Female,65,Milan,34597
Male,62,Milan,36130
Non-binary,52,Milan,40308
Male,44,Venice,59778
Non-binary,55,Verona,50296
Male,65,Trieste,31756
Female,64,Brescia,58361
Non-binary,27,Trieste,35882
Female,44,Venice,45314
Non-binary,59,Parma,45879
Non-binary,24,Brescia,22236
Male,49,Venice,51393
Male,57,Verona,56712
Male,44,Parma,57581
Male,35,Verona,63401
Female,20,Venice,28281
Male,62,Padua,51399
Male,41,Parma,61219
Non-binary,31,Bologna,36703
Female,46,Parma,67436
Female,46,Verona,61112
Non-binary,33,Brescia,36809
Non-binary,41,Brescia,68269
Male,24,Brescia,27272
Female,61,Trieste,46013
Male,41,Parma,50480
Non-binary,52,Bologna,32708
Male,59,Trieste,48526
Female,40,Milan,46011
Male,21,Verona,23613
Female,43,Verona,54571
Male,35,Turin,46071
Male,30,Padua,34503
Female,25,Parma,33683
Female,47,Bologna,62616
Female,23,Milan,24729
Male,60,Parma,35511
Male,31,Trieste,42791
Male,59,Bologna,44985
Non-binary,58,Parma,48535
Male,56,Parma,54330
Female,19,Genoa,28115
Female,21,Milan,29006
Female,39,Parma,61738
Male,33,Trieste,31854
Female,26,Venice,39383
Female,54,Brescia,33742
Non-binary,31,Parma,34389
Non-binary,22,Padua,28898
Female,53,Venice,56977
Non-binary,31,Genoa,36010
Non-binary,55,Milan,47761
Female,31,Parma,43477
Male,32,Turin,42399
Male,39,Genoa,46363
Female,27,Milan,42451
Male,56,Trieste,53559
Non-binary,18,Verona,27231
Female,35,Padua,62902
Male,27,Venice,33580
Male,26,Padua,36965
Non-binary,52,Genoa,33355
Female,34,Padua,42058
Female,29,Brescia,43599
Non-binary,25,Parma,40709
Female,60,Trieste,54620
Female,19,Milan,24055
Non-binary,26,Venice,34877
Non-binary,18,Brescia,20528
Male,40,Genoa,59736
Female,33,Brescia,34305
Non-binary,55,Verona,41422
Male,38,Trieste,47850
Female,19,Brescia,27193
Male,29,Padua,44176
Non-binary,34,Verona,31923
Female,21,Venice,23882
Male,26,Trieste,33438
Non-binary,65,Brescia,56565
Non-binary,44,Verona,69170
Non-binary,51,Brescia,49265
Non-binary,25,Verona,41290
Non-binary,65,Bologna,41489
Non-binary,22,Parma,29998
Non-binary,48,Trieste,65734
Male,46,Genoa,59030
Female,41,Genoa,50438
Female,50,Bologna,50190
Male,55,Brescia,34562
Non-binary,24,Bologna,23385
Female,46,Genoa,51781
Non-binary,50,Bologna,56392
Female,32,Bologna,30972
Non-binary,57,Genoa,48680
Male,20,Trieste,25747
Non-binary,64,Verona,47441
Female,60,Trieste,39210
Non-binary,51,Verona,49557
Female,37,Brescia,62654
Non-binary,47,Bologna,50517
Female,59,Bologna,40605
Female,19,Turin,24794
Female,21,Parma,24740
Non-binary,48,Brescia,63767
Female,43,Padua,53760
Non-binary,45,Padua,61856
Male,61,Verona,59496
Male,24,Venice,21560
Female,49,Bologna,49442
Non-binary,63,Milan,54579
Female,46,Bologna,58487
Non-binary,22,Turin,20971
Non-binary,23,Verona,24543
Male,38,Trieste,66492
Non-binary,56,Bologna,34157
Non-binary,27,Trieste,41492
Female,22,Genoa,22174
Female,26,Genoa,34090
Non-binary,35,Brescia,49792
Male,57,Bologna,53310
Female,58,Brescia,40554
Female,55,Bologna,57147
Male,53,Venice,38111
Female,63,Turin,54951
Non-binary,38,Parma,67158
Non-binary,42,Parma,57868
Non-binary,56,Genoa,46038
Female,51,Genoa,34658
Female,36,Milan,63921
Female,47,Brescia,65722
Female,50,Genoa,38805
Non-binary,56,Genoa,50572
Male,45,Milan,58573
Non-binary,24,Turin,26146
Female,62,Padua,44810
Non-binary,25,Verona,31237
Male,59,Trieste,50762
Non-binary,59,Turin,56037
Male,53,Venice,58839
Female,64,Milan,55194
Non-binary,31,Brescia,31525
Non-binary,45,Venice,58200
Non-binary,46,Padua,61895
Non-binary,32,Trieste,42284
Female,44,Trieste,54116
Male,39,Genoa,67764
Male,47,Bologna,57093
Non-binary,43,Verona,59899
Female,44,Bologna,60992
Male,64,Milan,40724
Male,24,Turin,29534
Male,38,Parma,45081
Male,45,Genoa,69009
Male,38,Brescia,48052
Male,60,Milan,53951
Female,34,Venice,37511
Non-binary,41,Padua,65802
Male,27,Venice,40881
Female,61,Milan,52848
Female,48,Padua,56738
Non-binary,22,Trieste,21037
Non-binary,23,Venice,28756
Male,23,Bologna,26516
Non-binary,23,Milan,23568
Non-binary,45,Milan,59078
Female,24,Bologna,23470
Female,65,Parma,46210
Female,65,Parma,38799
Male,41,Turin,55579
Male,26,Verona,43571
Non-binary,53,Bologna,39292
Non-binary,21,Trieste,25533
Male,55,Brescia,47934
Male,53,Brescia,48937
Female,53,Trieste,34279
Male,39,Venice,63551
Male,60,Brescia,57932
Non-binary,25,Trieste,37951
Non-binary,44,Bologna,56263
Female,40,Genoa,67365
Male,60,Turin,54977
Non-binary,45,Verona,46586
Male,64,Venice,31505
Male,21,Trieste,21631
Female,36,Bologna,65518
Male,56,Venice,55686
Female,37,Milan,60059
Non-binary,40,Verona,45533
Non-binary,24,Bologna,22035
Non-binary,54,Parma,58103
Non-binary,50,Genoa,35176
Female,31,Venice,37230
Female,27,Parma,37479
Non-binary,60,Padua,30022
Non-binary,48,Padua,59018
Non-binary,32,Brescia,33314
Female,24,Verona,22161
Non-binary,40,Turin,66299
Female,53,Padua,39891
Male,41,Turin,50209
Non-binary,25,Venice,44326
Female,35,Venice,53979
Female,54,Trieste,33058
Female,32,Verona,40724
Male,45,Genoa,56810
Non-binary,53,Milan,38204
Female,57,Bologna,32700
Non-binary,57,Padua,42184
Female,61,Genoa,51774
Non-binary,59,Trieste,59615
Male,53,Bologna,51263
Female,19,Verona,22711
Female,56,Bologna,31696
Male,60,Parma,42987
Non-binary,62,Parma,50499
Female,35,Milan,55010
Male,19,Bologna,23836
Female,29,Verona,37032
Female,35,Genoa,66478
Female,62,Milan,32988
Non-binary,37,Turin,68058
Male,39,Trieste,48118
Male,40,Bologna,45035
Male,18,Venice,23496
Male,29,Padua,37812
Female,27,Brescia,31276
Non-binary,54,Bologna,34348
Male,60,Turin,49453
Non-binary,43,Bologna,52411
Male,22,Verona,28510
Male,27,Parma,41140
Female,65,Genoa,44583
Female,58,Genoa,30304
Female,19,Venice,20132
Non-binary,23,Trieste,25629
Female,65,Venice,56775
Female,51,Trieste,33951
Male,31,Parma,44095
Male,42,Verona,58838
Female,44,Padua,67742
Female,47,Brescia,49331
Non-binary,39,Trieste,60653
Non-binary,28,Brescia,31160
Male,41,Genoa,52502
Non-binary,37,Genoa,57552
Female,64,Parma,32927
Female,38,Turin,68945
Male,54,Brescia,56409
Female,56,Trieste,33356
Female,23,Brescia,21690
Female,21,Verona,25133
Female,27,Turin,36022
Non-binary,28,Parma,44434
Non-binary,57,Turin,39805
Non-binary,21,Milan,22246
Non-binary,61,Brescia,42541
Non-binary,23,Brescia,22181
Male,35,Genoa,66023
Female,46,Parma,67188
Male,60,Brescia,34681
Female,45,Venice,47241
Female,49,Venice,62383
Female,56,Verona,48457
Male,46,Brescia,45277
Female,44,Trieste,64998
Female,35,Turin,66299
Non-binary,31,Genoa,32688
Non-binary,50,Parma,44421
Female,25,Trieste,35753
Non-binary,40,Turin,68672
Male,45,Brescia,51981
Female,25,Trieste,40290
Male,36,Milan,69519
Non-binary,61,Trieste,34960
Non-binary,61,Venice,43490
Male,55,Brescia,50187
Female,49,Padua,67497
Non-binary,51,Trieste,44496
Non-binary,60,Parma,58179
Non-binary,37,Milan,52118
Male,20,Brescia,21420
Male,32,Trieste,44689
Non-binary,43,Bologna,48292
Female,56,Milan,34587
Male,21,Padua,22017
Female,18,Bologna,29659
Male,31,Milan,41960
Male,37,Genoa,57583
Female,31,Parma,35759
Female,26,Turin,37035
Female,34,Milan,35152
Male,36,Padua,49581
Female,38,Verona,53119
Female,25,Turin,34537
Female,18,Brescia,21380
Female,49,Milan,53131
Female,65,Turin,48133
Female,45,Trieste,64693
Female,29,Milan,39830
Male,26,Bologna,41815
Female,42,Padua,64909
Male,52,Venice,39336
Non-binary,63,Venice,55525
Non-binary,32,Padua,41312
Male,50,Verona,30878
Female,53,Padua,57783
Male,60,Trieste,57756
Non-binary,40,Padua,66574
Male,22,Padua,24942
Non-binary,43,Turin,51732
Male,65,Brescia,46965
Male,20,Venice,29943
Male,45,Verona,61696
Male,19,Turin,23090
Male,47,Venice,69505
Non-binary,22,Brescia,26418
Male,38,Padua,54684
Male,54,Brescia,51173
Male,45,Venice,46788
Female,54,Genoa,55683
Non-binary,43,Milan,52842
Male,63,Milan,46216
Non-binary,58,Bologna,42644
Male,44,Trieste,48694
Female,36,Brescia,52899
Non-binary,25,Padua,38185
Female,43,Brescia,65908
Female,19,Padua,29730
Male,38,Genoa,47326
Non-binary,28,Genoa,38655
Non-binary,57,Trieste,59121
Non-binary,47,Verona,45395
Non-binary,62,Venice,41832
Male,41,Bologna,55370
Male,23,Genoa,22162
Female,45,Turin,57675
Male,24,Milan,29312
Non-binary,33,Padua,36895
Male,45,Parma,56973
Female,55,Milan,47903
Non-binary,43,Genoa,67378
Non-binary,51,Genoa,35661
Female,23,Turin,27717
Female,43,Turin,47391
Non-binary,37,Parma,45546
Male,65,Milan,49246
Male,39,Trieste,47212
Non-binary,32,Parma,30225
Non-binary,39,Milan,53591
Non-binary,28,Genoa,33534
Male,22,Milan,20652
Male,50,Padua,31981
Non-binary,58,Trieste,55863
Female,25,Genoa,36520
Non-binary,51,Brescia,46600
Non-binary,50,Genoa,39387
Male,30,Milan,40298
Non-binary,40,Venice,68351
Male,40,Brescia,61418
Female,64,Bologna,55136
Non-binary,59,Genoa,43612
Female,27,Parma,36939
Non-binary,33,Verona,41498
Female,24,Parma,26590
Male,27,Parma,31350
Non-binary,34,Verona,40494
Non-binary,30,Genoa,38791
Female,29,Bologna,38808
Male,56,Venice,50186
Female,27,Brescia,32501
Female,59,Genoa,39092
Male,22,Padua,21369
Female,29,Bologna,35077
Female,58,Bologna,32589
Non-binary,49,Milan,61754
Female,47,Brescia,51658
Non-binary,54,Parma,56478
Male,55,Venice,35091
Female,46,Padua,62576
Male,61,Brescia,40706
Non-binary,54,Trieste,42803
Non-binary,59,Milan,49216
Non-binary,58,Verona,50784
Female,57,Padua,55009
Non-binary,38,Brescia,66293
Non-binary,58,Verona,52316
Female,38,Padua,66074
Female,27,Padua,31083
Female,46,Venice,55163
Non-binary,22,Bologna,27167
Non-binary,48,Padua,68919
Female,46,Venice,52819
Female,58,Brescia,31897
Male,37,Trieste,53011
Male,35,Genoa,47825
Female,55,Genoa,44237
Female,21,Bologna,21900
Male,40,Venice,59856
Female,50,Trieste,50063
Non-binary,22,Milan,29975
Non-binary,37,Brescia,46803
Non-binary,47,Padua,55134
Female,46,Padua,66826
Female,20,Brescia,22877
Male,21,Brescia,21956
Female,41,Venice,45415
Female,36,Padua,68196
Male,22,Genoa,22248
Female,59,Bologna,52986
Male,23,Genoa,20185
Female,57,Verona,35368
Female,56,Turin,46266
Female,50,Trieste,41360
Female,42,Verona,62137
Non-binary,47,Turin,61948
Non-binary,55,Brescia,55656
Female,53,Genoa,56951
Non-binary,65,Milan,53618
Male,20,Bologna,24247
Non-binary,46,Padua,50471
Male,54,Parma,42185
Male,59,Parma,34159
Male,30,Milan,42284
Non-binary,38,Turin,53806
Female,56,Genoa,54016
Female,48,Parma,48868
Non-binary,50,Brescia,55278
Male,27,Genoa,44743
Non-binary,21,Trieste,20480
Female,46,Genoa,55977
Non-binary,24,Verona,27034
Non-binary,39,Bologna,53912
Female,63,Milan,47165
Female,23,Genoa,21046
Male,50,Genoa,38616
Male,59,Turin,53341
Female,29,Trieste,39447
Male,20,Genoa,21262
Female,33,Parma,38128
Non-binary,63,Genoa,44915
Male,46,Padua,61737
Female,46,Genoa,56800
Non-binary,51,Brescia,31816
Non-binary,51,Verona,46371
Female,57,Bologna,58159
Female,28,Padua,39287
Non-binary,41,Trieste,50468
Non-binary,41,Brescia,57048
Female,36,Verona,50154
Female,42,Bologna,53359
Non-binary,44,Bologna,48371
Non-binary,39,Verona,63805
Female,61,Brescia,52089
Female,56,Trieste,53684
Non-binary,21,Trieste,21889
Female,58,Turin,37484
Female,59,Trieste,54273
Female,39,Verona,61673
Female,22,Genoa,20042
Male,39,Verona,46443
Male,24,Verona,20201
Non-binary,53,Padua,38013
Male,61,Milan,31506
Female,42,Parma,60458
Male,36,Genoa,56926
Non-binary,34,Venice,36274
Non-binary,64,Milan,34917
Non-binary,60,Bologna,35864
Male,56,Brescia,58098
Male,27,Parma,30579
Male,39,Parma,63116
Non-binary,23,Padua,26870
Female,55,Bologna,37356
Female,60,Venice,40544
Non-binary,27,Genoa,34067
Non-binary,40,Verona,58639
Non-binary,37,Genoa,68602
Non-binary,59,Padua,40483
Female,62,Parma,38888
Male,60,Genoa,57066
Male,43,Trieste,47552
Female,26,Brescia,39364
Male,56,Verona,42216
Female,63,Bologna,33912
Male,23,Trieste,28225
Female,37,Trieste,67063
Male,53,Trieste,59554
Non-binary,42,Venice,46725
Non-binary,59,Verona,35876
Male,39,Venice,52313
Female,26,Venice,43178
Male,60,Brescia,46900
Male,62,Trieste,31504
Non-binary,65,Venice,43137
Female,61,Brescia,32258
Non-binary,51,Milan,58737
Male,23,Brescia,27620
Non-binary,59,Milan,58378
Female,60,Turin,39250
Male,45,Milan,55180
Male,50,Milan,40724
Non-binary,41,Padua,47830
Female,19,Venice,29061
Female,41,Genoa,59966
Female,37,Turin,45261
Female,29,Venice,36044
Female,31,Milan,33287
Male,39,Genoa,54554
Male,49,Brescia,63474
Female,30,Trieste,42853
Female,32,Verona,34979
Male,26,Milan,42117
Male,27,Parma,40202
Female,22,Parma,23974
Female,36,Trieste,60201
Male,24,Trieste,26033
Non-binary,50,Milan,49388
Non-binary,52,Milan,46166
Non-binary,65,Brescia,55316
Male,51,Brescia,55424
Male,20,Padua,23201
Male,60,Milan,54001
Non-binary,39,Milan,62909
Female,57,Brescia,54919
Male,26,Bologna,43041
Male,56,Brescia,38032
Male,42,Bologna,49933
